#,"",Kafka-exactly-once,RabbitMQ,rate,producer/consumer,message_size,message_size_bytes,Kafka-mbps,RabbitMQ-mbps
1,0,38275.146581,7505.247582,0,1,1.0KB,1024,39193750,7685374
2,1,54185.246412,8466.200427,0,2,1.0KB,1024,55485692,8669389
3,2,45840.072077,11107.204773,0,4,1.0KB,1024,46940234,11373778
4,3,50984.658420,11599.460493,0,6,1.0KB,1024,52208290,11877848
5,4,43765.722149,11589.428233,0,8,1.0KB,1024,44816099,11867575
