#,"",Kafka-exactly-once,RabbitMQ,rate,producer/consumer
1,0,2332.015,2495.007,0,1
2,1,2192.015,4404.031,0,2
3,2,4148.015,5511.007,0,3
4,3,3148.015,6022.015,0,4
5,4,2219.007,7110.015,0,5
6,5,6639.007,7259.007,0,6
