#,"",Kafka-exactly-once,rate,partitions
1,0,2332.015,0,1
2,1,2872.015,0,2
3,2,1931.007,0,4
4,3,2594.015,0,6
5,4,3075.007,0,8
6,5,39.000,1000,1
7,6,44.000,1000,2
8,7,54.000,1000,4
9,8,64.000,1000,6
10,9,75.000,1000,8
